Animal,Day,Outcome,Side,SpikeCount,Times,ViterbiGuess
7.0,1.0,1.0,0.0,1.0,31.9488,2.0
7.0,1.0,1.0,1.0,2.0,32.187733333334,3.0
7.0,1.0,0.0,1.0,4.0,33.223111111111,3.0
7.0,1.0,1.0,0.0,10.0,35.054933333334,3.0
7.0,1.0,1.0,1.0,3.0,31.681422222222,3.0
7.0,1.0,0.0,1.0,6.0,34.4576,3.0
7.0,1.0,0.0,1.0,5.0,34.2016,3.0
7.0,1.0,1.0,0.0,2.0,36.514133333333,3.0
7.0,1.0,0.0,0.0,1.0,31.35488,3.0
7.0,1.0,1.0,1.0,0.0,29.038933333333,3.0
7.0,1.0,1.0,0.0,14.0,45.033244444444,3.0
7.0,1.0,1.0,1.0,1.0,31.650133333334,3.0
7.0,1.0,1.0,0.0,5.0,31.5733333333339,3.0
7.0,1.0,0.0,0.0,4.0,33.962666666666,3.0
7.0,1.0,1.0,1.0,2.0,31.6074666666671,3.0
7.0,1.0,1.0,0.0,1.0,33.006933333334,3.0
7.0,1.0,1.0,1.0,1.0,35.771733333337,3.0
7.0,1.0,1.0,0.0,1.0,32.2218666666599,3.0
7.0,1.0,0.0,0.0,2.0,30.1010488888901,3.0
7.0,1.0,1.0,1.0,5.0,28.4899555555601,3.0
7.0,2.0,0.0,0.0,5.0,26.8970666666667,2.0
7.0,2.0,1.0,1.0,2.0,30.3104000000003,3.0
7.0,2.0,0.0,1.0,1.0,35.7376,3.0
7.0,2.0,1.0,0.0,4.0,44.0064,3.0
7.0,2.0,1.0,1.0,3.0,30.346808888889,3.0
7.0,2.0,1.0,0.0,1.0,31.853226666666,3.0
7.0,2.0,0.0,0.0,2.0,41.704106666667,3.0
7.0,2.0,1.0,1.0,2.0,23.466666666667,3.0
7.0,2.0,1.0,0.0,2.0,33.439288888888,3.0
7.0,2.0,0.0,0.0,2.0,33.4848000000001,3.0
7.0,2.0,1.0,1.0,0.0,25.040213333334,3.0
7.0,2.0,1.0,0.0,0.0,31.8873600000001,3.0
7.0,2.0,1.0,1.0,2.0,33.962666666667,3.0
7.0,2.0,0.0,1.0,2.0,32.3925333333331,3.0
7.0,2.0,1.0,0.0,1.0,30.870186666667,3.0
7.0,2.0,1.0,1.0,6.0,26.3210666666699,3.0
7.0,2.0,1.0,0.0,4.0,32.1052444444499,3.0
7.0,2.0,1.0,1.0,1.0,18.6368,3.0
7.0,2.0,1.0,0.0,1.0,51.6096,3.0
7.0,2.0,1.0,1.0,1.0,40.99413333333,3.0
7.0,3.0,0.0,0.0,1.0,27.9665777777778,2.0
7.0,3.0,1.0,1.0,3.0,31.86688,3.0
7.0,3.0,1.0,0.0,4.0,36.140373333334,3.0
7.0,3.0,1.0,1.0,9.0,48.7424,3.0
7.0,3.0,1.0,0.0,6.0,31.4368,3.0
7.0,3.0,0.0,0.0,6.0,31.0272,3.0
7.0,3.0,1.0,1.0,17.0,26.043733333333,3.0
7.0,3.0,0.0,1.0,4.0,26.633102222222,3.0
7.0,3.0,1.0,0.0,5.0,23.751111111112,3.0
7.0,3.0,1.0,1.0,1.0,25.110755555556,3.0
7.0,3.0,0.0,1.0,1.0,40.6664533333339,3.0
7.0,3.0,1.0,0.0,3.0,30.9248,3.0
7.0,3.0,0.0,0.0,4.0,31.391288888889,3.0
7.0,3.0,1.0,1.0,5.0,35.495822222223,3.0
7.0,3.0,0.0,1.0,4.0,31.715555555553,3.0
7.0,3.0,1.0,0.0,7.0,33.0069333333299,3.0
7.0,3.0,0.0,0.0,5.0,35.8399999999999,3.0
7.0,3.0,1.0,1.0,4.0,29.22951111111,3.0
7.0,3.0,1.0,0.0,5.0,33.7237333333301,3.0
7.0,3.0,0.0,0.0,0.0,28.8085333333299,3.0
7.0,4.0,1.0,1.0,3.0,30.4810666666667,2.0
7.0,4.0,0.0,1.0,8.0,34.520177777778,2.0
7.0,4.0,1.0,0.0,0.0,35.55328,3.0
7.0,4.0,0.0,0.0,0.0,10.40384,3.0
7.0,4.0,1.0,1.0,7.0,29.912177777778,3.0
7.0,4.0,1.0,0.0,2.0,30.185244444444,3.0
7.0,4.0,1.0,1.0,1.0,31.690666666666,3.0
7.0,4.0,1.0,0.0,1.0,25.736533333333,3.0
7.0,4.0,1.0,1.0,0.0,30.5698133333341,3.0
7.0,4.0,1.0,0.0,2.0,32.073955555555,3.0
7.0,4.0,1.0,1.0,2.0,28.4671999999999,3.0
7.0,4.0,1.0,0.0,0.0,31.9214933333329,3.0
7.0,4.0,1.0,1.0,3.0,54.82496,3.0
7.0,4.0,1.0,0.0,1.0,21.230933333333,3.0
7.0,4.0,1.0,1.0,1.0,24.8092444444401,3.0
7.0,4.0,1.0,0.0,3.0,36.69333333333,3.0
7.0,4.0,0.0,0.0,8.0,30.7882666666601,3.0
7.0,4.0,1.0,1.0,1.0,24.3712,3.0
7.0,4.0,0.0,1.0,0.0,10.57450666667,3.0
7.0,4.0,1.0,0.0,1.0,32.768,3.0
7.0,5.0,1.0,0.0,13.0,32.0512,2.0
7.0,5.0,1.0,1.0,4.0,36.693333333333,3.0
7.0,5.0,0.0,1.0,2.0,33.553066666667,3.0
7.0,5.0,1.0,0.0,6.0,31.812266666667,3.0
7.0,5.0,1.0,1.0,0.0,26.766222222223,3.0
7.0,5.0,1.0,0.0,0.0,11.537066666667,3.0
7.0,5.0,1.0,1.0,5.0,37.193955555556,3.0
7.0,5.0,1.0,0.0,1.0,31.9488,3.0
7.0,5.0,1.0,1.0,2.0,40.256853333333,3.0
7.0,5.0,1.0,0.0,1.0,29.422933333334,3.0
7.0,5.0,1.0,1.0,3.0,24.2005333333331,3.0
7.0,5.0,1.0,0.0,0.0,30.890666666667,3.0
7.0,5.0,0.0,0.0,1.0,18.4092444444441,3.0
7.0,5.0,1.0,1.0,0.0,3.04810666666594,3.0
7.0,5.0,1.0,0.0,2.0,25.6085333333369,3.0
7.0,5.0,1.0,1.0,0.0,24.22328888889,3.0
7.0,5.0,1.0,0.0,4.0,38.6048000000001,3.0
7.0,5.0,1.0,1.0,0.0,31.6693333333299,3.0
7.0,5.0,1.0,0.0,0.0,29.1612444444502,3.0
7.0,5.0,1.0,1.0,0.0,33.0833066666701,3.0
1.0,1.0,1.0,1.0,0.0,46.6809289999992,2.0
1.0,1.0,0.0,1.0,0.0,43.5990140000004,2.0
1.0,1.0,0.0,1.0,0.0,46.0010090000005,2.0
1.0,1.0,1.0,0.0,1.0,47.4805179999994,3.0
1.0,1.0,0.0,0.0,1.0,42.6812720000007,3.0
1.0,1.0,1.0,1.0,0.0,38.0011329999998,3.0
1.0,1.0,1.0,0.0,3.0,48.6410179999993,3.0
1.0,1.0,1.0,1.0,1.0,42.8409969999993,3.0
1.0,1.0,1.0,0.0,1.0,62.9981959999996,3.0
1.0,1.0,1.0,1.0,0.0,34.9199140000001,3.0
1.0,1.0,1.0,0.0,1.0,42.3996400000005,3.0
1.0,1.0,1.0,1.0,1.0,35.6015010000001,3.0
1.0,1.0,1.0,0.0,0.0,39.9202849999992,3.0
1.0,1.0,1.0,1.0,2.0,35.2013269999998,3.0
1.0,1.0,1.0,0.0,2.0,35.4792870000001,3.0
1.0,1.0,0.0,0.0,24.0,52.1997380000003,3.0
1.0,1.0,0.0,0.0,49.0,55.0000630000004,3.0
1.0,1.0,1.0,1.0,10.0,37.9183709999998,3.0
1.0,1.0,1.0,0.0,2.0,56.8017799999998,3.0
1.0,1.0,0.0,0.0,0.0,44.2408910000004,3.0
1.0,1.0,1.0,1.0,4.0,37.3185589999994,3.0
1.0,2.0,0.0,1.0,0.0,53.2818589999988,2.0
1.0,2.0,1.0,0.0,0.0,50.0790839999991,3.0
1.0,2.0,1.0,1.0,0.0,39.0414789999995,3.0
1.0,2.0,1.0,0.0,0.0,53.3201659999995,3.0
1.0,2.0,1.0,1.0,0.0,37.3601639999997,3.0
1.0,2.0,1.0,0.0,0.0,51.9610589999993,3.0
1.0,2.0,1.0,1.0,0.0,41.280146000001,3.0
1.0,2.0,1.0,0.0,0.0,59.680022999999,3.0
1.0,2.0,0.0,0.0,0.0,32.7602390000011,3.0
1.0,2.0,1.0,1.0,0.0,41.3605070000012,3.0
1.0,2.0,0.0,1.0,0.0,39.8403259999995,3.0
1.0,2.0,1.0,0.0,0.0,46.880572,3.0
1.0,2.0,1.0,1.0,0.0,38.0002510000013,3.0
1.0,2.0,0.0,1.0,0.0,36.3607269999993,3.0
1.0,2.0,0.0,1.0,0.0,47.5604500000009,3.0
1.0,2.0,1.0,0.0,0.0,44.598535000001,3.0
1.0,3.0,1.0,0.0,0.0,42.200124,2.0
1.0,3.0,1.0,1.0,0.0,40.2391500000003,3.0
1.0,3.0,1.0,0.0,0.0,39.6816040000003,3.0
1.0,3.0,1.0,1.0,0.0,33.798675,3.0
1.0,3.0,1.0,0.0,3.0,38.121153,3.0
1.0,3.0,1.0,1.0,0.0,37.6002680000001,3.0
1.0,3.0,1.0,0.0,1.0,42.720045,3.0
1.0,3.0,1.0,1.0,1.0,51.55818,3.0
1.0,3.0,1.0,0.0,0.0,43.2430000000004,3.0
1.0,3.0,0.0,0.0,0.0,36.000016,3.0
1.0,3.0,0.0,0.0,0.0,45.3219399999998,3.0
1.0,3.0,1.0,1.0,3.0,43.5984340000005,3.0
1.0,3.0,1.0,0.0,1.0,42.8409590000001,3.0
1.0,3.0,0.0,0.0,0.0,33.7616870000002,3.0
1.0,3.0,0.0,0.0,2.0,40.1618550000003,3.0
1.0,3.0,1.0,1.0,2.0,42.0392300000003,3.0
1.0,4.0,1.0,1.0,0.0,41.0411009999998,2.0
1.0,4.0,1.0,0.0,0.0,41.4390759999997,3.0
1.0,4.0,1.0,1.0,0.0,34.3604100000002,3.0
1.0,4.0,1.0,0.0,0.0,40.0011600000007,3.0
1.0,4.0,1.0,1.0,1.0,39.9580510000005,3.0
1.0,4.0,0.0,1.0,0.0,38.7604979999996,3.0
1.0,4.0,1.0,0.0,3.0,43.321293,3.0
1.0,4.0,0.0,0.0,0.0,36.4402140000002,3.0
1.0,4.0,1.0,1.0,1.0,44.2798419999999,3.0
1.0,4.0,1.0,0.0,1.0,41.4401360000002,3.0
1.0,4.0,1.0,1.0,2.0,35.2009820000003,3.0
1.0,4.0,1.0,0.0,0.0,49.960744,3.0
1.0,4.0,1.0,1.0,1.0,33.6806759999999,3.0
1.0,4.0,1.0,0.0,0.0,47.1193289999992,3.0
1.0,4.0,0.0,0.0,0.0,35.0002850000001,3.0
1.0,4.0,1.0,1.0,5.0,36.3204999999998,3.0
1.0,5.0,1.0,0.0,0.0,51.5213949999998,2.0
1.0,5.0,1.0,1.0,0.0,35.6399730000003,3.0
1.0,5.0,1.0,0.0,0.0,40.9609139999993,3.0
1.0,5.0,1.0,1.0,0.0,36.078939,3.0
1.0,5.0,1.0,0.0,0.0,40.0415280000007,3.0
1.0,5.0,1.0,1.0,8.0,47.600993,3.0
1.0,5.0,1.0,0.0,1.0,51.8786810000001,3.0
1.0,5.0,1.0,1.0,3.0,42.0014390000006,3.0
1.0,5.0,1.0,0.0,0.0,41.9604170000002,3.0
1.0,5.0,1.0,1.0,1.0,36.0390550000002,3.0
1.0,5.0,1.0,0.0,0.0,45.4805400000005,3.0
1.0,5.0,1.0,1.0,6.0,40.4802710000004,3.0
1.0,5.0,0.0,1.0,4.0,44.8395380000002,3.0
1.0,5.0,1.0,0.0,0.0,37.6416870000003,3.0
1.0,5.0,0.0,0.0,1.0,41.8786579999996,3.0
1.0,5.0,1.0,1.0,2.0,34.8819989999993,3.0
2.0,1.0,1.0,1.0,0.0,34.4384439999994,2.0
2.0,1.0,1.0,0.0,3.0,36.3975339999997,2.0
2.0,1.0,0.0,0.0,0.0,34.6788609999994,2.0
2.0,1.0,0.0,0.0,6.0,33.8404390000005,2.0
2.0,1.0,0.0,0.0,1.0,34.520415,2.0
2.0,1.0,0.0,0.0,6.0,35.3215989999999,2.0
2.0,1.0,0.0,0.0,0.0,34.8000709999997,2.0
2.0,1.0,1.0,1.0,2.0,33.9980869999999,3.0
2.0,1.0,1.0,0.0,71.0,44.2795700000006,3.0
2.0,1.0,1.0,1.0,0.0,36.1616980000008,3.0
2.0,1.0,1.0,0.0,148.0,33.7595259999998,3.0
2.0,1.0,1.0,1.0,7.0,34.8823689999999,3.0
2.0,1.0,1.0,0.0,28.0,36.7587899999999,3.0
2.0,2.0,1.0,0.0,0.0,36.3603810000004,2.0
2.0,2.0,1.0,1.0,3.0,32.9196570000004,2.0
2.0,2.0,1.0,0.0,4.0,35.5201259999994,2.0
2.0,2.0,0.0,0.0,6.0,47.6007789999985,2.0
2.0,2.0,0.0,0.0,0.0,36.9998500000002,2.0
2.0,2.0,0.0,0.0,1.0,35.9600580000006,2.0
2.0,2.0,0.0,0.0,1.0,41.2398369999992,2.0
2.0,2.0,1.0,1.0,9.0,34.640809999999,3.0
2.0,2.0,1.0,0.0,7.0,35.5220079999999,3.0
2.0,2.0,0.0,0.0,0.0,34.2402729999994,3.0
2.0,2.0,1.0,1.0,25.0,35.838577999999,3.0
2.0,2.0,1.0,0.0,1.0,38.4820889999992,3.0
2.0,2.0,1.0,1.0,25.0,40.2397509999992,3.0
2.0,2.0,1.0,0.0,5.0,43.4798960000007,3.0
2.0,2.0,1.0,1.0,14.0,42.8810910000011,3.0
2.0,2.0,1.0,0.0,0.0,37.4791580000001,3.0
2.0,2.0,1.0,1.0,154.0,36.6813199999997,3.0
2.0,2.0,1.0,0.0,1.0,35.3606919999984,3.0
2.0,2.0,1.0,1.0,26.0,46.0797349999993,3.0
2.0,3.0,0.0,0.0,0.0,48.4806219999991,2.0
2.0,3.0,0.0,0.0,3.0,50.9990580000012,2.0
2.0,3.0,1.0,1.0,10.0,42.3208339999983,3.0
2.0,3.0,1.0,0.0,3.0,36.9614440000005,3.0
2.0,3.0,1.0,1.0,0.0,48.2004310000011,3.0
2.0,3.0,1.0,0.0,5.0,49.2011319999983,3.0
2.0,3.0,0.0,0.0,7.0,41.5204650000014,3.0
2.0,3.0,1.0,1.0,32.0,45.2004540000016,3.0
2.0,3.0,0.0,1.0,2.0,59.2793729999976,3.0
2.0,3.0,0.0,1.0,20.0,57.2403659999982,3.0
2.0,3.0,1.0,0.0,23.0,53.4417729999986,3.0
2.0,3.0,0.0,0.0,92.0,42.3600970000007,3.0
2.0,4.0,0.0,1.0,1.0,36.6424419999994,2.0
2.0,4.0,0.0,1.0,2.0,36.3197,2.0
2.0,4.0,1.0,0.0,3.0,34.8397690000002,2.0
2.0,4.0,0.0,0.0,9.0,34.2006379999993,2.0
2.0,4.0,0.0,0.0,5.0,36.0407949999999,2.0
2.0,4.0,0.0,0.0,6.0,39.5201870000001,2.0
2.0,4.0,1.0,1.0,5.0,36.9609929999997,3.0
2.0,4.0,1.0,0.0,9.0,36.56052,3.0
2.0,4.0,1.0,1.0,6.0,32.75774,3.0
2.0,4.0,1.0,0.0,11.0,34.2019129999999,3.0
2.0,4.0,1.0,1.0,1.0,57.6788750000005,3.0
2.0,4.0,1.0,0.0,10.0,33.2002339999999,3.0
2.0,5.0,0.0,1.0,0.0,37.7602270000025,1.0
2.0,5.0,1.0,0.0,21.0,37.2802910000028,1.0
2.0,5.0,0.0,0.0,1.0,41.1197649999995,1.0
2.0,5.0,0.0,0.0,4.0,37.5208740000016,1.0
2.0,5.0,0.0,0.0,5.0,48.6002420000004,1.0
2.0,5.0,0.0,0.0,0.0,37.8011220000008,1.0
2.0,5.0,1.0,1.0,0.0,35.0007479999986,1.0
2.0,5.0,1.0,0.0,70.0,39.2374259999997,1.0
2.0,5.0,0.0,0.0,0.0,38.7993389999974,1.0
2.0,5.0,0.0,0.0,0.0,35.358446000002,1.0
2.0,5.0,0.0,0.0,0.0,41.6802239999997,1.0
2.0,5.0,0.0,0.0,53.0,37.6413729999986,1.0
2.0,5.0,0.0,0.0,2.0,35.2013109999971,1.0
